"{""columnType"":""DIMENSION"";""dataType"":""STRING"";""name"":""ga:pagePath""}";"{""columnType"":""DIMENSION"";""dataType"":""STRING"";""name"":""ga:date""}";"{""columnType"":""METRIC"";""dataType"":""INTEGER"";""name"":""ga:visits""}";"{""columnType"":""METRIC"";""dataType"":""INTEGER"";""name"":""ga:visitors""}";"{""columnType"":""METRIC"";""dataType"":""TIME"";""name"":""ga:avgTimeOnPage""}";"{""columnType"":""METRIC"";""dataType"":""INTEGER"";""name"":""ga:pageviews""}";"{""columnType"":""METRIC"";""dataType"":""TIME"";""name"":""ga:timeOnPage""}";"{""columnType"":""METRIC"";""dataType"":""INTEGER"";""name"":""ga:uniquepageviews""}";
/;20091204;15;15;7.588.888.888.888.880;19;683.0;15;
/;20091205;8;9;158.75;11;635.0;9;
/;20091206;12;11;37.166.666.666.666.600;15;223.0;13;
/;20091207;25;23;12.216.666.666.666.600;31;1466.0;25;
/;20091208;17;17;8.533.333.333.333.330;22;768.0;17;
/;20091209;23;22;106.125;27;849.0;23;
/;20091210;15;15;167.25;20;1338.0;15;
/;20091211;17;17;4.627.272.727.272.720;25;509.0;17;
/;20091212;19;18;20.0;23;160.0;20;
/;20091213;8;9;15.0;12;90.0;9;
/;20091214;18;18;11.085.714.285.714.200;26;1552.0;18;
/;20091215;21;19;50.4;27;504.0;21;
/;20091216;11;11;39.9;17;399.0;12;
/;20091217;17;18;30.444.444.444.444.400;23;274.0;19;
/;20091218;10;10;21.25;13;85.0;10;
/;20091219;8;8;33.666.666.666.666.600;10;101.0;8;
/;20091220;10;10;27.0;11;81.0;10;
/;20091221;15;14;24.857.142.857.142.800;17;174.0;15;
/;20091222;18;18;57.833.333.333.333.300;21;347.0;18;
/;20091223;19;18;23.833.333.333.333.300;28;286.0;19;
/;20091224;6;6;24.0;11;144.0;6;
/;20091225;9;9;21.0;11;84.0;9;
/;20091226;7;5;2.676.666.666.666.660;9;803.0;8;
/;20091227;8;8;92.2;10;461.0;9;
/;20091228;12;12;520.5;16;2082.0;14;
/;20091229;1;1;187.0;1;187.0;1;
/;20091230;5;5;0.0;5;0.0;5;
/;20091231;11;9;35.4;14;177.0;11;
/;20100101;12;11;0.0;12;0.0;12;
/;20100102;8;8;31.0;8;31.0;8;
/;20100103;9;9;50.5;12;202.0;9;
/;20100104;14;14;159.2;17;796.0;15;
/;20100105;14;10;7.685.714.285.714.280;17;538.0;14;
/;20100106;12;11;419.25;14;1677.0;13;
/;20100107;17;17;7.092.307.692.307.690;23;922.0;17;
/;20100108;15;15;33.166.666.666.666.600;16;199.0;15;
/;20100109;13;12;28.875;15;231.0;13;
/;20100110;11;10;35.142.857.142.857.100;13;246.0;11;
/;20100111;10;10;50.5;17;606.0;11;
/;20100112;16;14;23.2;20;232.0;16;
/;20100113;18;18;53.0;19;212.0;19;
/;20100114;9;9;35.8;14;179.0;9;
/;20100115;12;10;118.0;13;236.0;12;
/;20100116;7;7;25.333.333.333.333.300;8;76.0;7;
/;20100117;9;9;8.714.285.714.285.710;12;61.0;9;
/;20100118;13;13;13.444.444.444.444.400;17;121.0;13;
/;20100119;13;12;21.0;15;105.0;13;
/;20100120;12;9;75.5;20;755.0;12;
/;20100121;35;24;10.241.463.414.634.100;143;12597.0;42;
/;20100122;18;17;250.625;29;401.0;20;
/;20100123;15;13;8.233.333.333.333.330;16;494.0;15;
/;20100124;27;25;7.673.333.333.333.330;30;1151.0;27;
/;20100125;23;19;6.975.862.068.965.510;43;2023.0;24;
/;20100126;31;30;3.321.212.121.212.120;83;2192.0;34;
/;20100127;17;15;9.803.921.568.627.450;64;5000.0;21;
/;20100128;26;25;3.936.538.461.538.460;70;2047.0;27;
/;20100129;30;22;8.898.181.818.181.810;74;4894.0;30;
/;20100130;15;14;28.083.333.333.333.300;22;337.0;17;
/;20100131;21;23;58.85;37;1177.0;26;
/;20100201;20;18;11.966.666.666.666.600;41;2872.0;26;
/;20100202;28;24;2.777.777.777.777.770;38;500.0;29;
/;20100203;29;27;110.875;45;2661.0;31;
/;20100204;29;24;6.944.897.959.183.670;73;3403.0;36;
/;20100205;20;21;704.375;31;1127.0;22;
/;20100206;9;9;40.2;17;402.0;9;
/;20100207;11;10;9.333.333.333.333.330;14;56.0;11;
/;20100208;16;16;3.663.636.363.636.360;19;403.0;16;
/;20100209;27;24;3.215.686.274.509.800;64;1640.0;31;
/;20100210;27;22;19.293.103.448.275.800;47;5595.0;30;
/;20100211;27;27;11.164.285.714.285.700;44;3126.0;28;
/;20100212;14;14;18.75;14;75.0;14;
/;20100213;13;13;32.0;14;32.0;14;
/;20100214;14;11;31.571.428.571.428.500;20;221.0;14;
/;20100215;27;23;6.325.925.925.925.920;41;1708.0;27;
/;20100216;15;14;52.285.714.285.714.200;29;1098.0;16;
/;20100217;42;34;5.636.190.476.190.470;242;11836.0;53;
/;20100218;33;30;3.657.377.049.180.320;80;2231.0;36;
/;20100219;26;18;3.352.777.777.777.770;56;1207.0;29;
/;20100220;12;8;150.0;15;600.0;12;
/;20100221;15;14;21.542.857.142.857.100;18;1508.0;16;
/;20100222;30;25;5.219.230.769.230.760;49;1357.0;32;
/;20100223;33;27;61.611.111.111.111.100;59;2218.0;38;
/;20100224;32;32;57.794.871.794.871.700;59;2254.0;37;
/;20100225;22;21;5.288.235.294.117.640;36;899.0;24;
/;20100226;24;19;169.6;36;3392.0;26;
/;20100227;19;13;13.6;21;68.0;19;
/;20100228;17;16;6.744.444.444.444.440;22;607.0;18;
/;20100301;21;17;1.040.625;32;1665.0;22;
/;20100302;27;25;5.461.904.761.904.760;41;1147.0;27;
/;20100303;31;25;1.524.390.243.902.430;61;6250.0;32;
/;20100304;31;27;40.0;51;1200.0;31;
/;20100305;36;30;63.666.666.666.666.600;157;8404.0;39;
/;20100306;13;12;14.666.666.666.666.600;18;88.0;14;
/;20100307;16;11;85.2;21;426.0;17;
/;20100308;14;14;11.539.285.714.285.700;40;3231.0;16;
/;20100309;24;23;14.369.565.217.391.300;42;3305.0;26;
/;20100310;27;27;175.7;43;3514.0;30;
/;20100311;16;13;38.285.714.285.714.200;23;536.0;16;
/;20100312;17;17;16.666.666.666.666.600;17;100.0;17;
/;20100313;9;9;6.218.181.818.181.810;19;684.0;10;
/;20100314;11;11;39.0;11;78.0;11;
/;20100315;15;15;204.375;17;1635.0;15;
/;20100316;22;22;62.85;33;1257.0;22;
/;20100317;22;22;30.647.058.823.529.400;30;521.0;23;
/;20100318;44;40;11.617.241.379.310.300;61;3369.0;45;
/;20100319;35;35;7.459.504.132.231.400;147;9026.0;41;
/;20100320;15;15;7.264.285.714.285.710;21;1017.0;15;
/;20100321;9;9;21.0;10;84.0;9;
/;20100322;30;28;45.65;38;913.0;30;
/;20100323;36;31;5.346.153.846.153.840;101;4170.0;38;
/;20100324;41;38;8.763.333.333.333.330;153;10516.0;45;
/;20100325;19;19;3.981.818.181.818.180;22;438.0;19;
/;20100326;18;16;198.75;22;2385.0;18;
/;20100327;10;8;16.625;14;133.0;10;
/;20100328;14;15;54.857.142.857.142.800;22;768.0;15;
/;20100329;19;19;74.6;26;1119.0;19;
/;20100330;22;19;2.811.764.705.882.350;31;478.0;24;
/;20100331;37;35;44.857.142.857.142.800;48;1256.0;41;
/;20100401;23;17;24.0;35;432.0;24;
/;20100402;18;13;96.5;21;579.0;19;
/;20100403;7;7;93.25;10;373.0;7;
/;20100404;15;10;17.333.333.333.333.300;16;52.0;15;
/;20100405;12;11;18.25;13;73.0;13;
/;20100406;25;21;11.203.703.703.703.700;33;3025.0;25;
/;20100407;18;14;192.0;27;3072.0;19;
/;20100408;66;63;37.276.595.744.680.800;84;1752.0;68;
/;20100409;14;12;8.307.142.857.142.850;21;1163.0;15;
/;20100410;4;2;0.0;4;0.0;4;
/;20100411;11;7;33.8;14;169.0;12;
/;20100412;28;24;8.615.384.615.384.610;31;112.0;28;
/;20100413;17;18;28.75;22;345.0;20;
/;20100414;8;10;20.75;11;83.0;10;
/;20100415;18;18;7.871.428.571.428.570;22;1102.0;19;
/;20100416;22;19;1.469.375;29;2351.0;22;
/;20100417;11;9;31.333.333.333.333.300;15;188.0;11;
/;20100419;18;15;16.266.666.666.666.600;27;244.0;19;
/;20100420;13;11;47.285.714.285.714.200;15;331.0;13;
/;20100421;33;26;12.837.142.857.142.800;59;4493.0;36;
/;20100422;25;21;21.75;31;261.0;26;
/;20100423;17;17;3.623.076.923.076.920;26;471.0;21;
/;20100424;8;7;22.75;9;91.0;8;
/;20100425;8;7;252.0;12;1512.0;9;
/;20100426;20;15;10.754.545.454.545.400;22;1183.0;20;
/;20100427;22;14;22.811.764.705.882.300;32;3878.0;23;
/;20100428;22;21;102.75;28;1233.0;22;
/;20100429;20;22;7.189.473.684.210.520;34;1366.0;23;
/;20100430;12;10;21.857.142.857.142.800;16;153.0;13;
/;20100501;12;7;128.5;12;257.0;12;
/;20100502;24;20;23.333.333.333.333.300;35;420.0;26;
/;20100503;31;28;46.464.285.714.285.700;47;1301.0;34;
/;20100504;24;23;5.908.571.428.571.420;50;2068.0;28;
/;20100505;21;17;162.0;27;2106.0;23;
/;20100506;28;30;3.372.727.272.727.270;59;1484.0;34;
/;20100507;23;19;10.873.333.333.333.300;31;1631.0;25;
/;20100508;24;16;41.65;34;833.0;27;
/;20100509;11;10;53.666.666.666.666.600;14;322.0;12;
/;20100510;24;23;13.915.384.615.384.600;39;3618.0;27;
/;20100511;35;27;27.558.139.534.883.700;62;1185.0;39;
/;20100512;32;22;102.125;81;5719.0;35;
/;20100513;11;10;23.2;17;232.0;14;
/;20100514;40;33;4.825.252.525.252.520;121;4777.0;43;
/;20100515;8;10;76.875;13;615.0;11;
/;20100516;10;11;15.428.571.428.571.400;13;108.0;11;
/;20100517;32;22;16.657.142.857.142.800;46;4664.0;33;
/;20100518;43;32;10.335.897.435.897.400;72;4031.0;47;
/;20100519;20;14;1.300.909.090.909.090;27;1431.0;21;
/;20100520;41;26;47.458.333.333.333.300;49;1139.0;43;
/;20100521;21;14;52.0;23;364.0;21;
/;20100522;11;10;6.142.857.142.857.140;13;430.0;11;
/;20100523;6;6;19.25;7;77.0;7;
/;20100524;17;15;10.0;21;60.0;17;
/;20100525;32;27;26.391.304.347.826.000;42;607.0;36;
/;20100526;22;21;12.026.666.666.666.600;28;1804.0;23;
/;20100527;22;20;36.142.857.142.857.100;57;1518.0;24;
/;20100528;23;22;8.594.827.586.206.890;74;4985.0;25;
/;20100529;18;15;2.290.909.090.909.090;24;252.0;20;
/;20100530;10;10;43.25;13;173.0;11;
/;20100531;26;20;4.267.741.935.483.870;48;1323.0;28;
/;20100601;36;29;4.483.571.428.571.420;175;6277.0;46;
/;20100602;36;25;9.087.128.712.871.280;123;9178.0;41;
/;20100603;59;48;7.067.901.234.567.900;111;5725.0;61;
/;20100604;27;23;7.485.185.185.185.180;44;2021.0;29;
/;20100605;11;10;29.7;15;297.0;12;
/;20100606;13;10;20.0;19;220.0;13;
/;20100607;20;23;6.442.424.242.424.240;43;2126.0;25;
/;20100608;41;38;6.073.410.404.624.270;197;10507.0;46;
/;20100609;30;25;20.033.333.333.333.300;43;5409.0;32;
/;20100610;27;25;4.177.777.777.777.770;38;752.0;30;
/;20100611;25;21;29.4;31;441.0;25;
/;20100612;14;15;25.375;19;203.0;17;
/;20100613;14;10;12.4;16;62.0;15;
/;20100614;34;25;6.259.090.909.090.900;43;1377.0;35;
/;20100615;13;11;9.622.222.222.222.220;21;866.0;15;
/;20100616;11;12;6.643.373.493.975.900;91;5514.0;15;
/;20100617;20;20;8.541.666.666.666.660;28;1025.0;21;
/;20100618;20;18;15.482.978.723.404.200;60;7277.0;24;
/;20100619;20;18;7.228.571.428.571.420;23;506.0;22;
/;20100620;15;13;57.142.857.142.857.100;23;800.0;17;
/;20100621;23;20;5.739.393.939.393.930;50;1894.0;24;
/;20100622;19;18;9.805.882.352.941.170;29;1667.0;21;
/;20100623;18;16;8.691.666.666.666.660;21;1043.0;19;
/;20100624;19;16;9.907.843.137.254.900;65;5053.0;25;
/;20100625;21;12;12.9;31;129.0;24;
/;20100626;10;12;21.785.714.285.714.200;23;305.0;13;
/;20100627;9;9;22.5;12;90.0;9;
/;20100628;19;18;93.4;24;934.0;20;
/;20100629;11;10;40.0;11;80.0;11;
/;20100630;14;15;28.076.923.076.923.000;20;365.0;17;
/;20100703;6;5;97.0;6;291.0;6;
/;20100704;8;8;45.0;10;135.0;9;
/;20100705;10;10;84.0;12;168.0;10;
/;20100706;16;13;4.490.526.315.789.470;110;4266.0;20;
/;20100707;17;13;5.110.526.315.789.470;182;8739.0;18;
/;20100708;17;22;1.468.095.238.095.230;39;3083.0;22;
/;20100709;21;17;4.836.363.636.363.630;47;1596.0;25;
/;20100710;5;8;1.488.888.888.888.880;12;134.0;8;
/;20100711;4;5;47.4;9;237.0;6;
/;20100712;11;13;16.728.571.428.571.400;15;1171.0;14;
/;20100713;21;18;843.076.923.076.923;39;2192.0;23;
/;20100714;16;16;733.913.043.478.261;32;1688.0;17;
/;20100715;12;9;12.454.545.454.545.400;20;137.0;12;
/;20100716;12;10;15.0;17;135.0;13;
/;20100717;6;5;0.0;6;0.0;6;
/;20100718;8;6;17.0;8;34.0;8;
/;20100719;21;16;10.454.545.454.545.400;27;115.0;22;
/;20100720;20;18;7.047.368.421.052.630;32;1339.0;21;
/;20100721;16;12;1.669.090.909.090.900;23;1836.0;16;
/;20100722;17;16;18.614.285.714.285.700;28;2606.0;20;
/;20100723;9;8;151.6;13;1516.0;9;
/;20100724;1;1;0.0;1;0.0;1;
/;20100725;7;8;19.5;10;117.0;8;
/;20100726;11;12;51.0;17;408.0;13;
/;20100727;10;11;22.092.307.692.307.600;20;2872.0;11;
/;20100728;12;12;34.875;16;279.0;14;
/;20100729;12;14;5.307.142.857.142.850;21;743.0;14;
/;20100730;17;16;39.247.126.436.781.600;187;6829.0;21;
/;20100731;4;5;8.375;11;67.0;5;
/;20100801;11;9;26.0;18;234.0;11;
/;20100802;21;18;28.473.684.210.526.300;33;541.0;25;
/;20100803;10;7;10.983.333.333.333.300;13;659.0;10;
/;20100804;12;13;9.555.555.555.555.550;17;86.0;15;
/;20100805;11;13;3.492.857.142.857.140;20;489.0;13;
/;20100806;12;11;62.5;17;375.0;14;
/;20100807;15;15;128.3;21;1283.0;17;
/;20100808;14;11;22.4;22;224.0;15;
/;20100809;7;7;62.6;11;313.0;8;
/;20100810;15;13;1.526.153.846.153.840;25;1984.0;17;
/;20100811;17;15;23.5;19;141.0;18;
/;20100812;14;15;64.5;16;516.0;15;
/;20100813;9;9;24.5;15;245.0;10;
/;20100814;7;9;32.5;12;130.0;9;
/;20100815;16;12;9.666.666.666.666.660;19;58.0;16;
/;20100816;18;16;11.166.666.666.666.600;21;67.0;18;
/;20100817;9;8;30.333.333.333.333.300;11;91.0;10;
/;20100818;17;16;4.244.444.444.444.440;23;382.0;17;
/;20100819;15;12;7.485.714.285.714.280;21;524.0;17;
/;20100820;11;12;58.2;14;291.0;13;
/;20100821;4;3;0.0;5;0.0;5;
/;20100822;7;7;42.75;9;171.0;8;
/;20100823;9;9;13.166.666.666.666.600;13;79.0;10;
/;20100824;8;10;83.6;23;1254.0;12;
/;20100825;8;10;3.792.063.492.063.490;132;4778.0;11;
/;20100826;15;16;1.680.952.380.952.380;30;353.0;16;
/;20100827;12;13;3.655.555.555.555.550;46;1316.0;15;
/;20100828;12;13;121.375;16;971.0;14;
/;20100829;8;9;23.555.555.555.555.500;14;212.0;9;
/;20100830;12;12;31.636.363.636.363.600;19;348.0;12;
/;20100831;12;14;5.012.162.162.162.160;84;3709.0;17;
/;20100901;41;35;4.021.495.327.102.800;132;4303.0;42;
/;20100902;18;17;11.815.384.615.384.600;21;1536.0;19;
/;20100903;29;30;102.15;42;2043.0;32;
/;20100904;14;13;295.25;18;2362.0;15;
/;20100905;26;22;48.5;37;776.0;30;
/;20100906;25;25;143.68;35;3592.0;28;
/;20100907;30;27;11.919.444.444.444.400;54;4291.0;34;
/;20100908;32;33;11.836.666.666.666.600;55;3551.0;37;
/;20100909;46;43;43.411.764.705.882.300;63;1476.0;48;
/;20100910;25;22;7.084.615.384.615.380;41;1842.0;27;
/;20100911;18;12;125.75;18;503.0;18;
/;20100912;14;14;25.0;19;325.0;16;
/;20100913;45;34;9.376.190.476.190.470;73;3938.0;47;
/;20100914;30;27;13.741.176.470.588.200;55;4672.0;33;
/;20100915;32;27;28.689.655.172.413.700;46;832.0;34;
/;20100916;41;36;16.606.666.666.666.600;75;7473.0;47;
/;20100917;37;31;7.275.555.555.555.550;66;3274.0;38;
/;20100918;22;25;56.166.666.666.666.600;29;674.0;25;
/;20100919;22;24;12.723.076.923.076.900;29;1654.0;24;
/;20100920;41;32;12.344.444.444.444.400;48;3333.0;41;
/;20100921;39;34;22.983.606.557.377.000;82;1402.0;41;
/;20100922;25;23;11.163.333.333.333.300;45;3349.0;29;
/;20100923;34;36;598.235.294.117.647;41;1017.0;38;
/;20100924;23;22;12.684.375;47;4059.0;26;
/;20100925;12;12;1.676.923.076.923.070;19;218.0;12;
/;20100926;15;16;33.333.333.333.333.300;18;300.0;17;
/;20100927;36;35;4.606.666.666.666.660;53;1382.0;38;
/;20100928;38;32;6.595.833.333.333.330;47;1583.0;40;
/;20100929;40;41;59.2;68;2664.0;44;
/;20100930;28;28;5.619.047.619.047.610;36;1180.0;29;
/;20101001;21;21;53.083.333.333.333.300;28;637.0;22;
/;20101002;20;21;4.686.666.666.666.660;29;703.0;22;
/;20101003;25;24;8.610.526.315.789.470;33;1636.0;27;
/;20101004;27;24;7.743.333.333.333.330;42;2323.0;28;
/;20101005;32;29;57.785.714.285.714.200;43;1618.0;33;
/;20101006;33;33;44.333.333.333.333.300;51;1330.0;36;
/;20101007;32;32;58.578.947.368.421.000;40;1113.0;33;
/;20101008;36;38;79.3;47;2379.0;39;
/;20101009;23;23;3.563.636.363.636.360;26;392.0;23;
/;20101010;24;26;85.0;39;1955.0;27;
/;20101011;39;36;10.091.176.470.588.200;52;3431.0;41;
/;20101012;32;34;15.869.565.217.391.300;44;365.0;35;
/;20101013;53;45;7.870.270.270.270.270;73;2912.0;54;
/;20101014;37;25;32.85;47;657.0;40;
/;20101015;33;30;3.480.952.380.952.380;57;1462.0;35;
/;20101016;25;25;56.5;36;1356.0;26;
/;20101017;24;25;64.35;33;1287.0;28;
/;20101018;34;32;63.56;42;1589.0;37;
/;20101019;34;32;1.997.142.857.142.850;52;699.0;37;
/;20101020;44;41;47.24;67;2362.0;46;
/;20101021;42;40;8.921.739.130.434.780;52;2052.0;42;
/;20101022;27;27;37.333.333.333.333.300;43;896.0;29;
/;20101023;15;15;10.909.090.909.090.900;22;120.0;16;
/;20101024;23;22;8.616.666.666.666.660;28;1034.0;24;
/;20101025;42;37;62.833.333.333.333.300;55;1885.0;43;
/;20101026;47;44;93.25;72;4476.0;50;
/;20101027;129;124;9.088.679.245.283.010;237;14451.0;143;
/;20101028;87;88;43.770.212.765.957.400;292;10286.0;94;
/;20101029;40;37;13.982.758.620.689.600;53;4055.0;41;
/;20101030;34;33;68.15;39;1363.0;34;
/;20101031;32;27;715.909.090.909.091;44;1575.0;36;
/;20101101;79;71;10.206.410.256.410.200;133;7961.0;87;
/;20101102;59;56;5.661.805.555.555.550;182;8153.0;61;
/;20101103;54;51;1.244.090.909.090.900;77;5474.0;59;
/;20101104;60;56;7.334.027.777.777.770;176;10561.0;66;
/;20101105;44;40;2.134.285.714.285.710;54;747.0;46;
/;20101106;19;21;30.333.333.333.333.300;25;364.0;22;
/;20101107;23;23;25.095.238.095.238.000;30;527.0;25;
/;20101108;84;75;444.078.947.368.421;114;3375.0;86;
/;20101109;103;88;5.745.454.545.454.540;158;5688.0;109;
/;20101110;61;51;6.834.482.758.620.680;86;3964.0;65;
/;20101111;83;75;3.581.944.444.444.440;105;2579.0;87;
/;20101112;51;49;9.563.636.363.636.360;69;4208.0;56;
/;20101113;39;37;4.645.945.945.945.940;60;1719.0;43;
/;20101114;23;27;43.9;33;878.0;27;
/;20101115;67;58;53.964.285.714.285.700;108;4533.0;72;
/;20101116;105;108;7.055.555.555.555.550;175;8255.0;117;
/;20101117;71;60;63.975.806.451.612.900;153;7933.0;79;
/;20101118;59;54;11.608.235.294.117.600;114;9867.0;65;
/;20101119;46;44;11.567.647.058.823.500;63;3933.0;50;
/;20101120;38;35;9.813.333.333.333.330;58;2944.0;41;
/;20101121;37;34;76.0;46;1520.0;41;
/;20101122;47;46;4.163.157.894.736.840;64;1582.0;51;
/;20101123;42;39;144.25;61;5770.0;44;
/;20101124;39;36;7.311.111.111.111.110;64;2632.0;44;
/;20101125;70;67;5.915.094.339.622.640;86;3135.0;74;
/;20101126;42;35;2.462.162.162.162.160;56;911.0;44;
/;20101127;73;72;5.526.984.126.984.120;98;3482.0;76;
/;20101128;51;52;4.026.190.476.190.470;64;1691.0;54;
/;20101129;62;60;5.484.615.384.615.380;76;2852.0;64;
/;20101130;58;52;646.923.076.923.077;92;4205.0;60;
/;20101201;38;39;8.532.432.432.432.430;57;3157.0;41;
/;20101202;43;42;8.433.333.333.333.330;65;3795.0;45;
/;20101203;36;33;497.816.091.954.023;102;4331.0;40;
/;20101204;21;22;3.755.555.555.555.550;25;338.0;22;
/;20101205;39;36;9.995.833.333.333.330;52;2399.0;40;
/;20101206;44;35;15.158.823.529.411.700;55;5154.0;45;
/;20101207;44;42;4.232.142.857.142.850;54;1185.0;46;
/;20101208;38;32;39.95;41;799.0;39;
/;20101209;31;32;4.588.461.538.461.530;46;1193.0;34;
/;20101210;20;22;65.25;25;1305.0;23;
/;20101211;16;15;2.476.923.076.923.070;22;322.0;16;
/;20101212;31;28;6.523.809.523.809.520;37;1370.0;32;
/;20101213;71;73;9.667.857.142.857.140;94;5414.0;75;
/;20101214;67;63;15.545.454.545.454.500;81;6840.0;68;
/;20101215;43;48;6.126.190.476.190.470;64;2573.0;51;
/;20101216;41;38;5.160.606.060.606.060;53;1703.0;43;
/;20101217;26;26;7.792.307.692.307.690;31;1013.0;27;
/;20101218;19;20;153.9;25;1539.0;21;
/;20101219;31;30;711.923.076.923.077;39;1851.0;36;
/;20101220;36;31;13.5;50;459.0;36;
/;20101221;28;25;32.208.333.333.333.300;114;3092.0;34;
/;20101222;42;43;4.663.057.324.840.760;176;7321.0;45;
/;20101223;25;28;56.333.333.333.333.300;37;1690.0;29;
/;20101224;15;16;8.133.333.333.333.330;19;732.0;16;
/;20101225;16;16;866.923.076.923.077;20;1127.0;17;
/;20101226;17;17;30.066.666.666.666.600;21;451.0;17;
/;20101227;19;19;112.0;26;1904.0;21;
/;20101228;21;23;25.75;30;515.0;24;
/;20101229;28;26;56.857.142.857.142.800;38;1194.0;29;
/;20101230;33;30;53.765.957.446.808.500;68;2527.0;37;
/;20101231;16;16;11.4;30;228.0;18;
/;20110101;17;19;11.0;25;187.0;21;
/;20110102;40;34;6.714.285.714.285.710;46;1410.0;40;
