"{""columnType"":""DIMENSION"";""dataType"":""STRING"";""name"":""ga:pagePath""}";"{""columnType"":""DIMENSION"";""dataType"":""STRING"";""name"":""ga:date""}";"{""columnType"":""DIMENSION"";""dataType"":""STRING"";""name"":""ga:visitLength""}";"{""columnType"":""METRIC"";""dataType"":""INTEGER"";""name"":""ga:visits""}";"{""columnType"":""METRIC"";""dataType"":""INTEGER"";""name"":""ga:visitors""}";"{""columnType"":""METRIC"";""dataType"":""TIME"";""name"":""ga:avgTimeOnPage""}";"{""columnType"":""METRIC"";""dataType"":""INTEGER"";""name"":""ga:pageviews""}";"{""columnType"":""METRIC"";""dataType"":""TIME"";""name"":""ga:timeOnPage""}";"{""columnType"":""METRIC"";""dataType"":""INTEGER"";""name"":""ga:uniquepageviews""}"
/;20090928;136;1;1;45.333.333.333.333.300;4;136.0;1
/;20090928;139;1;1;24.5;2;49.0;1
/;20090928;148;1;1;17.0;2;34.0;1
/;20090928;1600;1;1;13.0;1;13.0;1
/;20090928;188;1;1;81.0;3;162.0;1
/;20090928;229;1;1;16.0;2;16.0;1
/;20090928;234;1;1;105.0;2;105.0;1
/;20090928;265;1;1;7.066.666.666.666.660;3;212.0;1
/;20090928;268;1;1;93.5;2;187.0;1
/;20090928;27;1;1;16.0;1;16.0;1
/;20090928;33;1;1;19.0;1;19.0;1
/;20090928;339;1;1;137.0;2;274.0;1
/;20090928;36;1;1;10.0;1;10.0;1
/;20090928;4;1;1;4.0;1;4.0;1
/;20090928;43;1;1;15.0;1;15.0;1
/;20090928;47;1;1;11.0;1;11.0;1
/;20090928;51;1;1;11.0;1;11.0;1
/;20090928;54;2;2;22.0;3;44.0;2
/;20090928;623;1;1;17.0;2;34.0;1
/;20090928;63;1;1;17.5;2;35.0;1
/;20090928;65;1;1;47.0;2;47.0;1
/;20090928;66;1;1;44.0;2;44.0;1
/;20090928;68;1;1;10.0;2;20.0;1
/;20090928;710;1;1;25.0;1;25.0;1
/;20090928;753;1;1;39.0;2;78.0;1
/;20090928;8;1;1;5.0;1;5.0;1
/;20090928;80;1;1;80.0;1;80.0;1
/;20090928;81;1;1;17.0;1;17.0;1
/;20090928;898;1;1;21.0;3;63.0;1
/;20090928;9;1;1;9.0;2;9.0;1
/;20090928;93;1;1;16.0;1;16.0;1
/;20090928;96;1;1;45.0;1;45.0;1
/;20090928;99;1;1;73.0;2;73.0;1
/;20090929;0;31;30;0.0;31;0.0;31
/;20090929;10;1;1;5.0;2;5.0;1
/;20090929;100;2;2;24.5;2;49.0;2
/;20090929;108;1;1;33.0;1;33.0;1
/;20090929;1093;1;1;1031.0;2;1031.0;1
/;20090929;114;1;1;27.0;1;27.0;1
/;20090929;116;1;1;90.0;1;90.0;1
/;20090929;133;1;1;16.0;1;16.0;1
/;20090929;143;1;1;29.5;3;59.0;1
/;20090929;15;2;2;15.0;2;30.0;2
/;20090929;154;1;1;15.666.666.666.666.600;3;47.0;1
/;20090929;157;1;1;21.5;2;43.0;1
/;20090929;16;1;1;16.0;1;16.0;1
/;20090929;167;2;2;31.5;2;63.0;2
/;20090929;174;1;1;3.5;2;7.0;1
/;20090929;185;1;1;23.0;2;46.0;1
/;20090929;19;1;1;19.0;1;19.0;1
/;20090929;190;1;1;56.0;1;56.0;1
/;20090929;20;1;1;15.0;1;15.0;1
/;20090929;209;1;1;34.666.666.666.666.600;3;104.0;1
/;20090929;217;1;1;49.5;2;99.0;1
/;20090929;2348;1;1;10.0;1;10.0;1
/;20090929;2409;1;1;16.5;3;33.0;1
/;20090929;26;1;1;6.0;1;6.0;1
/;20090929;27;1;1;9.0;2;9.0;1
/;20090929;278;1;1;9.0;1;9.0;1
/;20090929;29;1;1;7.0;4;21.0;1
/;20090929;298;1;1;7.0;1;7.0;1
/;20090929;303;1;1;95.0;1;95.0;1
/;20090929;33;1;1;18.0;1;18.0;1
/;20090929;34;1;1;11.0;1;11.0;1
/;20090929;3509;1;1;7.0;2;14.0;1
/;20090929;352;1;1;64.0;1;64.0;1
/;20090929;361;1;1;26.0;1;26.0;1
/;20090929;385;1;1;26.0;2;52.0;1
/;20090929;43;1;1;43.0;2;43.0;1
/;20090929;432;1;1;41.0;1;41.0;1
/;20090929;51;1;1;25.5;3;51.0;1
/;20090929;54;1;1;36.0;1;36.0;1
/;20090929;550;1;1;18.333.333.333.333.300;4;550.0;1
/;20090929;57;1;1;28.0;2;28.0;1
/;20090929;576;1;1;102.0;2;204.0;1
/;20090929;59;1;1;59.0;1;59.0;1
/;20090929;60;2;2;34.0;3;68.0;2
/;20090929;617;1;1;308.5;2;617.0;1
/;20090929;625;1;1;16.0;1;16.0;1
/;20090929;64;1;1;6.0;2;6.0;1
/;20090929;72;1;1;72.0;2;72.0;1
/;20090929;73;2;2;29.0;2;58.0;2
/;20090929;74;1;1;21.0;1;21.0;1
/;20090929;76;1;1;33.0;1;33.0;1
/;20090929;78;1;1;20.5;2;41.0;1
/;20090929;855;1;1;15.0;2;30.0;1
/;20090929;87;1;1;27.0;3;54.0;1
/;20090930;0;24;22;0.0;24;0.0;24
/;20090930;11;1;1;2.0;2;4.0;1
/;20090930;111;1;1;14.0;2;28.0;1
/;20090930;114;0;1;6.0;1;6.0;1
/;20090930;1163;1;1;1163.0;2;1163.0;1
/;20090930;127;1;1;61.0;1;61.0;1
/;20090930;128;1;1;128.0;1;128.0;1
/;20090930;1338;1;1;20.0;2;20.0;1
/;20090930;134;1;1;51.5;2;103.0;1
/;20090930;140;1;1;45.0;1;45.0;1
/;20090930;144;1;1;38.0;2;38.0;1
/;20090930;152;1;1;152.0;1;152.0;1
/;20090930;156;1;1;44.0;3;132.0;1
/;20090930;159;1;1;144.0;2;144.0;1
/;20090930;1598;1;1;15.0;1;15.0;1
/;20090930;16;1;1;7.0;2;14.0;1
/;20090930;203;1;1;9.0;1;9.0;1
/;20090930;2165;1;1;175.0;1;175.0;1
/;20090930;217;1;1;22.0;1;22.0;1
/;20090930;24;1;1;12.0;1;12.0;1
/;20090930;274;1;1;18.0;1;18.0;1
/;20090930;28;1;1;28.0;1;28.0;1
/;20090930;29;1;1;14.0;2;28.0;1
/;20090930;328;1;1;27.0;2;54.0;1
/;20090930;33;1;1;10.5;2;21.0;1
/;20090930;390;1;1;8.0;2;16.0;1
/;20090930;40;2;2;40.0;2;80.0;2
/;20090930;406;1;1;266.0;1;266.0;1
/;20090930;412;1;1;22.333.333.333.333.300;3;67.0;1
/;20090930;46;1;1;43.0;1;43.0;1
/;20090930;544;1;1;27.5;2;55.0;1
/;20090930;59;1;1;29.0;2;29.0;1
/;20090930;678;1;1;35.0;1;35.0;1
/;20090930;70;0;1;0.0;1;0.0;1
/;20090930;90;1;1;62.0;2;62.0;1
/;20090930;95;1;1;49.0;1;49.0;1
/;20091001;0;20;20;0.0;20;0.0;20
/;20091001;1048;1;1;29.0;1;29.0;1
/;20091001;136;1;1;20.0;5;100.0;1
/;20091001;175;1;1;7.0;1;7.0;1
/;20091001;1824;1;1;64.5;2;129.0;1
/;20091001;19;1;1;19.0;1;19.0;1
/;20091001;200;1;1;49.0;1;49.0;1
/;20091001;204;1;1;15.0;3;30.0;1
/;20091001;219;1;1;21.0;2;42.0;1
/;20091001;22;1;1;22.0;1;22.0;1
/;20091001;230;1;1;43.0;2;43.0;1
/;20091001;27;1;1;10.0;2;10.0;1
/;20091001;32;1;1;20.0;2;20.0;1
/;20091001;327;0;1;15.0;1;15.0;1
/;20091001;331;1;1;267.0;1;267.0;1
/;20091001;447;1;1;9.0;2;9.0;1
/;20091001;47;1;1;47.0;2;47.0;1
/;20091001;474;1;1;26.0;1;26.0;1
/;20091001;5758;0;1;13.0;1;13.0;1
/;20091001;70;1;1;42.0;1;42.0;1
/;20091001;77;2;2;36.0;3;72.0;2
/;20091001;78;1;1;39.0;2;78.0;1
/;20091001;83;1;1;83.0;2;83.0;1
/;20091001;88;1;1;18.0;2;36.0;1
/;20091001;97;1;1;38.0;2;76.0;1
/;20091002;0;29;27;0.0;29;0.0;29
/;20091002;13;1;1;13.0;1;13.0;1
/;20091002;138;1;1;16.5;2;33.0;1
/;20091002;1469;1;1;1455.0;2;1455.0;1
/;20091002;15;2;2;15.0;2;30.0;2
/;20091002;152;1;1;47.0;1;47.0;1
/;20091002;156;0;1;0.0;1;0.0;1
/;20091002;176;1;1;40.666.666.666.666.600;3;122.0;1
/;20091002;257;1;1;49.0;2;98.0;1
/;20091002;26;1;1;26.0;1;26.0;1
/;20091002;27;1;1;27.0;2;27.0;1
/;20091002;29;2;2;14.5;2;29.0;2
/;20091002;33;1;1;33.0;2;33.0;1
/;20091002;34;2;2;34.0;2;68.0;2
/;20091002;350;1;1;67.0;2;134.0;1
/;20091002;408;1;1;49.0;1;49.0;1
/;20091002;442;1;1;13.0;1;13.0;1
/;20091002;479;0;1;0.0;1;0.0;1
/;20091002;50;1;1;28.0;1;28.0;1
/;20091002;51;1;1;51.0;2;51.0;1
/;20091002;590;1;1;13.0;2;26.0;1
/;20091002;62;1;1;62.0;1;62.0;1
/;20091002;624;1;1;7.5;2;15.0;1
/;20091002;65;0;1;17.0;1;17.0;1
/;20091002;68;1;1;9.0;1;9.0;1
/;20091002;69;1;1;15.0;1;15.0;1
/;20091002;82;1;1;6.0;1;6.0;1
/;20091003;0;13;11;0.0;13;0.0;13
/;20091003;17;1;1;17.0;1;17.0;1
/;20091003;20;1;1;20.0;1;20.0;1
/;20091003;23;1;1;23.0;2;23.0;1
/;20091003;30;0;1;3.0;2;3.0;1
/;20091003;4451;1;1;63.5;2;127.0;1
/;20091003;48;1;1;27.0;2;27.0;1
/;20091003;75;1;1;23.0;2;23.0;1
/;20091004;0;14;14;0.0;14;0.0;14
/;20091004;103;1;1;15.666.666.666.666.600;4;47.0;1
/;20091004;114;1;1;114.0;2;114.0;1
/;20091004;12;1;1;12.0;1;12.0;1
/;20091004;1317;0;1;5.5;2;11.0;1
/;20091004;1457;1;1;486.0;4;1458.0;1
/;20091004;151;0;1;15.0;2;30.0;1
/;20091004;202;1;1;21.0;2;42.0;1
/;20091004;216;1;1;216.0;2;216.0;1
/;20091004;25;1;1;12.5;3;25.0;1
/;20091004;32;1;1;17.0;1;17.0;1
/;20091004;333;1;1;19.0;1;19.0;1
/;20091004;34;1;1;14.0;1;14.0;1
/;20091004;41;1;1;41.0;2;41.0;1
/;20091004;420;1;1;5.333.333.333.333.330;3;16.0;1
/;20091004;466;1;1;232.5;3;465.0;1
/;20091004;54;1;1;3.0;1;3.0;1
/;20091004;69;1;1;9.0;1;9.0;1
/;20091004;7;1;1;7.0;2;7.0;1
/;20091004;86;1;1;24.0;1;24.0;1
/;20091004;89;1;1;89.0;2;89.0;1
/;20091004;893;1;1;2.976.666.666.666.660;4;893.0;1
/;20091005;0;48;48;0.0;48;0.0;48
/;20091005;10;1;1;10.0;2;10.0;1
/;20091005;102;1;1;102.0;2;102.0;1
/;20091005;111;2;2;46.5;2;93.0;2
/;20091005;114;1;1;114.0;2;114.0;1
/;20091005;115;1;1;115.0;2;115.0;1
/;20091005;116;2;2;41.666.666.666.666.600;4;125.0;2
/;20091005;131;1;1;63.0;3;126.0;1
/;20091005;1414;1;1;1414.0;2;1414.0;1
/;20091005;149;1;1;7.0;2;7.0;1
/;20091005;156;1;1;156.0;2;156.0;1
/;20091005;1613;1;1;175.0;1;175.0;1
/;20091005;190;2;2;43.5;10;348.0;2
/;20091005;1992;1;1;398.4;6;1992.0;1
/;20091005;20;1;1;20.0;1;20.0;1
/;20091005;201;1;1;100.5;3;201.0;1
/;20091005;204;1;1;3.0;2;3.0;1
/;20091005;23;1;1;23.0;2;23.0;1
/;20091005;230;1;1;230.0;2;230.0;1
/;20091005;241;1;1;241.0;1;241.0;1
/;20091005;249;1;1;249.0;2;249.0;1
/;20091005;250;1;1;250.0;2;250.0;1
/;20091005;290;1;1;28.0;1;28.0;1
/;20091005;297;1;1;297.0;1;297.0;1
/;20091005;31;1;1;15.5;3;31.0;1
/;20091005;358;1;1;70.5;5;282.0;1
/;20091005;385;1;1;37.0;2;74.0;1
/;20091005;40;1;1;40.0;1;40.0;1
/;20091005;44;1;1;8.8;6;44.0;1
/;20091005;504;1;1;18.0;3;36.0;1
/;20091005;510;1;1;170.0;4;510.0;1
/;20091005;52;1;1;26.0;3;52.0;1
/;20091005;55;1;1;55.0;2;55.0;1
/;20091005;57;2;2;35.0;3;70.0;2
/;20091005;65;1;1;20.0;1;20.0;1
/;20091005;714;1;1;357.0;3;714.0;1
/;20091005;73;1;1;43.0;1;43.0;1
/;20091005;80;1;1;11.0;2;11.0;1
/;20091005;953;1;1;6.0;2;6.0;1
/;20091006;0;38;37;0.0;38;0.0;38
/;20091006;119;1;1;59.5;3;119.0;1
/;20091006;125;1;1;11.5;2;23.0;1
/;20091006;128;1;1;7.0;1;7.0;1
/;20091006;1320;1;1;330.25;5;1321.0;1
/;20091006;14;1;1;14.0;1;14.0;1
/;20091006;1407;1;1;703.5;3;1407.0;1
/;20091006;143;1;1;13.0;2;26.0;1
/;20091006;151;1;1;19.0;3;57.0;1
/;20091006;162;1;1;14.0;1;14.0;1
/;20091006;163;1;1;163.0;2;163.0;1
/;20091006;20;1;1;20.0;2;20.0;1
/;20091006;211;1;1;21.0;2;42.0;1
/;20091006;238;1;1;34.0;2;68.0;1
/;20091006;24;1;1;24.0;2;24.0;1
/;20091006;252;1;1;65.0;1;65.0;1
/;20091006;27;1;1;14.0;3;28.0;1
/;20091006;29;1;1;15.0;3;30.0;1
/;20091006;31;1;1;20.0;1;20.0;1
/;20091006;33;1;1;19.0;2;19.0;1
/;20091006;42;1;1;42.0;1;42.0;1
/;20091006;429;1;1;8.333.333.333.333.330;3;25.0;1
/;20091006;45;2;2;30.0;3;60.0;2
/;20091006;478;1;1;119.5;5;478.0;1
/;20091006;547;1;1;14.0;2;28.0;1
/;20091006;6;1;1;6.0;1;6.0;1
/;20091006;6150;0;1;343.4;16;5151.0;1
/;20091006;64;1;1;16.0;2;32.0;1
/;20091006;66;2;2;27.0;3;81.0;2
/;20091006;727;1;1;16.366.666.666.666.600;3;491.0;1
/;20091006;79;1;1;79.0;2;79.0;1
/;20091006;8487;1;1;19.966.666.666.666.600;12;2396.0;1
/;20091006;850;0;1;3.0;1;3.0;1
/;20091006;87;1;1;27.0;3;81.0;1
/;20091006;9;1;1;9.0;2;9.0;1
/;20091006;902;1;1;18.0;2;36.0;1
/;20091007;0;24;24;0.0;24;0.0;24
/;20091007;1192;1;1;72.0;1;72.0;1
/;20091007;13;1;1;13.0;2;13.0;1
/;20091007;133;1;1;36.0;1;36.0;1
/;20091007;138;1;1;44.0;1;44.0;1
/;20091007;15;1;1;12.0;1;12.0;1
/;20091007;175;1;1;149.0;1;149.0;1
/;20091007;19;1;1;19.0;1;19.0;1
/;20091007;204;1;1;38.0;1;38.0;1
/;20091007;227;1;1;45.666.666.666.666.600;3;137.0;1
/;20091007;2504;1;1;12.666.666.666.666.600;3;38.0;1
/;20091007;371;0;1;6.0;1;6.0;1
/;20091007;38;1;1;21.0;2;21.0;1
/;20091007;42;1;1;42.0;1;42.0;1
/;20091007;45;1;1;24.0;2;24.0;1
/;20091007;62;1;1;22.0;1;22.0;1
/;20091007;729;1;1;32.666.666.666.666.600;3;98.0;1
/;20091007;82;2;2;82.0;4;164.0;2
/;20091007;923;0;1;4.0;1;4.0;1
/;20091008;0;18;17;0.0;18;0.0;18
/;20091008;1001;1;1;44.0;1;44.0;1
/;20091008;1035;1;1;44.0;2;88.0;1
/;20091008;104;1;1;104.0;1;104.0;1
/;20091008;109;1;1;109.0;1;109.0;1
/;20091008;111;1;1;43.0;1;43.0;1
/;20091008;115;1;1;58.0;1;58.0;1
/;20091008;154;1;1;135.0;1;135.0;1
/;20091008;1625;1;1;1625.0;1;1625.0;1
/;20091008;1774;1;1;30.0;1;30.0;1
/;20091008;235;1;1;61.0;1;61.0;1
/;20091008;247;1;1;85.0;1;85.0;1
/;20091008;279;1;1;73.0;1;73.0;1
/;20091008;289;1;1;199.0;1;199.0;1
/;20091008;307;1;1;42.0;1;42.0;1
/;20091008;345;1;1;132.0;2;264.0;1
/;20091008;42;1;1;14.0;4;42.0;1
/;20091008;477;1;1;106.0;1;106.0;1
/;20091008;55;1;1;55.0;1;55.0;1
/;20091008;73;1;1;29.0;1;29.0;1
/;20091008;91;1;1;91.0;1;91.0;1
/;20091009;0;24;22;0.0;24;0.0;24
/;20091009;103;1;1;103.0;1;103.0;1
/;20091009;119;1;1;10.0;1;10.0;1
/;20091009;142;1;1;71.0;3;142.0;1
/;20091009;151;1;1;151.0;2;151.0;1
/;20091009;162;1;1;116.0;1;116.0;1
/;20091009;20;1;1;17.0;2;17.0;1
/;20091009;2106;1;1;1592.0;1;1592.0;1
/;20091009;26;1;1;26.0;1;26.0;1
/;20091009;305;1;1;33.0;1;33.0;1
/;20091009;308;1;1;9.0;2;9.0;1
/;20091009;318;1;1;12.0;3;36.0;1
/;20091009;325;1;1;10.833.333.333.333.300;3;325.0;1
/;20091009;3363;1;1;557.0;2;1114.0;1
/;20091009;340;1;1;340.0;1;340.0;1
/;20091009;35;1;1;35.0;1;35.0;1
/;20091009;40;1;1;7.0;2;7.0;1
/;20091009;497;1;1;435.0;1;435.0;1
/;20091009;51;1;1;51.0;1;51.0;1
/;20091009;612;1;1;612.0;1;612.0;1
/;20091009;7;1;1;7.0;1;7.0;1
/;20091009;71;1;1;35.5;2;71.0;1
/;20091009;74;1;1;17.0;1;17.0;1
/;20091009;87;1;1;37.0;3;74.0;1
/;20091010;0;11;11;0.0;11;0.0;11
/;20091010;114;1;1;22.0;1;22.0;1
/;20091010;148;0;1;38.0;1;38.0;1
/;20091010;19;1;1;14.0;1;14.0;1
/;20091010;298;1;1;31.5;2;63.0;1
/;20091011;0;9;9;0.0;9;0.0;9
/;20091011;118;1;1;21.0;1;21.0;1
/;20091011;121;1;1;40.333.333.333.333.300;4;121.0;1
/;20091011;193;0;1;11.0;1;11.0;1
/;20091011;1947;1;1;2.638.333.333.333.330;7;1583.0;1
/;20091011;2457;0;1;0.0;1;0.0;1
/;20091011;2830;1;1;171.0;1;171.0;1
/;20091011;292;0;1;7.0;1;7.0;1
/;20091011;302;1;1;31.0;1;31.0;1
/;20091011;345;1;1;119.0;1;119.0;1
/;20091011;43;1;1;29.0;1;29.0;1
/;20091011;51;1;1;14.0;1;14.0;1
/;20091011;56;1;1;56.0;2;56.0;1
/;20091011;78;1;1;55.0;1;55.0;1
/;20091012;0;24;24;0.0;24;0.0;24
/;20091012;104;1;1;97.0;1;97.0;1
/;20091012;1232;1;1;15.666.666.666.666.600;3;47.0;1
/;20091012;1301;1;1;28.0;1;28.0;1
/;20091012;134;0;1;27.0;1;27.0;1
/;20091012;137;0;1;31.0;2;31.0;1
/;20091012;179;0;1;18.0;1;18.0;1
/;20091012;18;1;1;18.0;1;18.0;1
/;20091012;189;1;1;24.0;1;24.0;1
/;20091012;19;1;1;16.0;1;16.0;1
/;20091012;21;1;1;19.0;1;19.0;1
/;20091012;29;1;1;29.0;1;29.0;1
/;20091012;34;1;1;11.333.333.333.333.300;4;34.0;1
/;20091012;35;0;1;0.0;1;0.0;1
/;20091012;351;1;1;32.0;2;64.0;1
/;20091012;36;1;1;36.0;2;36.0;1
/;20091012;39;1;1;11.0;1;11.0;1
/;20091012;40;1;1;19.5;2;39.0;1
/;20091012;45;1;1;9.0;1;9.0;1
/;20091012;504;1;1;172.0;2;344.0;1
/;20091012;514;0;1;23.0;1;23.0;1
/;20091012;660;1;1;16.0;2;16.0;1
/;20091012;738;0;1;30.0;1;30.0;1
/;20091012;79;1;1;7.0;3;21.0;1
/;20091012;86;0;1;59.0;1;59.0;1
/;20091012;963;1;1;90.0;3;270.0;1
/;20091013;0;27;24;0.0;27;0.0;27
/;20091013;106;1;1;30.5;3;61.0;1
/;20091013;1108;0;1;15.5;2;31.0;1
/;20091013;127;1;1;42.5;3;85.0;1
/;20091013;1371;0;1;908.0;1;908.0;1
/;20091013;144;1;1;31.5;2;63.0;1
/;20091013;163;1;1;46.0;3;138.0;1
/;20091013;175;1;1;54.0;3;162.0;1
/;20091013;197;1;1;30.0;1;30.0;1
/;20091013;21;1;1;21.0;1;21.0;1
/;20091013;212;1;1;123.0;1;123.0;1
/;20091013;233;1;1;75.0;2;150.0;1
/;20091013;242;0;1;23.5;3;47.0;1
/;20091013;26;1;1;17.0;1;17.0;1
/;20091013;27;1;1;10.0;2;20.0;1
/;20091013;36;1;1;36.0;1;36.0;1
/;20091013;379;0;1;86.0;1;86.0;1
/;20091013;46;2;2;36.0;4;72.0;2
/;20091013;497;0;1;438.0;1;438.0;1
/;20091013;51;1;1;25.5;2;51.0;1
/;20091013;52;1;1;52.0;1;52.0;1
/;20091013;54;0;1;4.0;2;4.0;1
/;20091013;73;1;1;15.0;1;15.0;1
/;20091013;81;1;1;32.0;2;32.0;1
/;20091013;844;1;1;27.5;2;55.0;1
/;20091013;97;1;1;26.5;2;53.0;1
